complaint,priority
Complaint: need an extra room key near my room.,Low
Reporting an issue: would like a copy of the hostel handbook in the hostel block.,Low
Kindly note: need a new notice board update on my floor.,Low
Need information about mess timings near my room.,Low
Please report: would like a copy of the hostel handbook.,Low
Complaint: need information about hostel facilities.,Low
Kindly note: would like a copy of the hostel handbook on my floor.,Low
Reporting an issue: need information about hostel facilities in the hostel block.,Low
Need information about hostel facilities near my room.,Low
Reporting an issue: need information about hostel facilities in my room.,Low
Reporting an issue: need information about mess timings in my room.,Low
Kindly note: need information about hostel facilities in the hostel block.,Low
Complaint: would like a copy of the hostel handbook.,Low
Kindly note: need information about mess timings near my room.,Low
Kindly note: need an extra room key near my room.,Low
Complaint: need information about mess timings.,Low
Kindly note: need an extra room key in my room.,Low
Kindly note: need information about hostel facilities on my floor.,Low
Complaint: would like a copy of the hostel handbook on my floor.,Low
Reporting an issue: need information about hostel facilities in the hostel block.,Low
Please report: need a new notice board update in my room.,Low
Please report: need an extra room key on my floor.,Low
Please report: need an extra room key near my room.,Low
Please provide hostel rule information near my room.,Low
Please provide hostel rule information near my room.,Low
Please provide hostel rule information on my floor.,Low
Need an extra room key near my room.,Low
Please report: need an extra room key on my floor.,Low
Please report: would like a copy of the hostel handbook in my room.,Low
Need an extra room key.,Low
Complaint: need information about hostel facilities near my room.,Low
Reporting an issue: need information about hostel facilities near my room.,Low
Reporting an issue: would like a copy of the hostel handbook in my room.,Low
Complaint: need information about mess timings in the hostel block.,Low
Reporting an issue: need information about mess timings on my floor.,Low
Reporting an issue: need a new notice board update in my room.,Low
Kindly note: need a new notice board update on my floor.,Low
Please report: need information about hostel facilities on my floor.,Low
Reporting an issue: please provide hostel rule information in my room.,Low
Complaint: need information about hostel facilities in the hostel block.,Low
Complaint: would like a copy of the hostel handbook near my room.,Low
Complaint: please provide hostel rule information on my floor.,Low
Need an extra room key in the hostel block.,Low
Complaint: network equipment is down and students cannot access the internet in the hostel block.,High
Please report: router in the block has stopped working entirely in my room.,High
Please report: router in the block has stopped working entirely on my floor.,High
Please report: router in the block has stopped working entirely in the hostel block.,High
Kindly note: hostel Wi-Fi has been unavailable for the entire day in the hostel block.,High
Please report: router in the block has stopped working entirely.,High
Kindly note: network equipment is down and students cannot access the internet.,High
Complaint: internet outage is affecting online exams for students on my floor.,High
Please report: router in the block has stopped working entirely on my floor.,High
Network equipment is down and students cannot access the internet in the hostel block.,High
Network equipment is down and students cannot access the internet on my floor.,High
Complaint: network equipment is down and students cannot access the internet.,High
Please report: internet is completely unavailable across the hostel.,High
Kindly note: network equipment is down and students cannot access the internet near my room.,High
Kindly note: router in the block has stopped working entirely near my room.,High
Hostel Wi-Fi has been unavailable for the entire day in my room.,High
Complaint: hostel Wi-Fi has been unavailable for the entire day.,High
Please report: router in the block has stopped working entirely in my room.,High
Router in the block has stopped working entirely.,High
Complaint: router in the block has stopped working entirely in my room.,High
Complaint: network equipment is down and students cannot access the internet.,High
Complaint: network equipment is down and students cannot access the internet near my room.,High
Please report: hostel Wi-Fi has been unavailable for the entire day.,High
Internet outage is affecting online exams for students on my floor.,High
Please report: hostel Wi-Fi has been unavailable for the entire day on my floor.,High
Network equipment is down and students cannot access the internet in my room.,High
Hostel Wi-Fi has been unavailable for the entire day in my room.,High
Internet outage is affecting online exams for students near my room.,High
Internet is completely unavailable across the hostel in the hostel block.,High
Please report: internet outage is affecting online exams for students on my floor.,High
Please report: network equipment is down and students cannot access the internet near my room.,High
Kindly note: internet outage is affecting online exams for students.,High
Please report: hostel Wi-Fi has been unavailable for the entire day in the hostel block.,High
Complaint: network equipment is down and students cannot access the internet in my room.,High
Kindly note: internet outage is affecting online exams for students near my room.,High
Complaint: internet is completely unavailable across the hostel on my floor.,High
Wi-Fi keeps disconnecting every few minutes near my room.,Medium
Kindly note: router light is blinking red constantly in the hostel block.,Medium
Reporting an issue: cannot connect to the hostel network in my room.,Medium
Kindly note: wi-Fi keeps disconnecting every few minutes near my room.,Medium
Reporting an issue: router light is blinking red constantly in my room.,Medium
Please report: router light is blinking red constantly near my room.,Medium
Reporting an issue: wi-Fi keeps disconnecting every few minutes on my floor.,Medium
Reporting an issue: wi-Fi is very slow in the room near my room.,Medium
Reporting an issue: wi-Fi is very slow in the room on my floor.,Medium
Kindly note: cannot connect to the hostel network.,Medium
Please report: internet speed drops significantly in the evening in the hostel block.,Medium
Please report: router light is blinking red constantly in the hostel block.,Medium
Complaint: wi-Fi keeps disconnecting every few minutes on my floor.,Medium
Reporting an issue: wi-Fi is very slow in the room.,Medium
Please report: cannot connect to the hostel network.,Medium
Complaint: wi-Fi is very slow in the room in my room.,Medium
Reporting an issue: wi-Fi is very slow in the room near my room.,Medium
Reporting an issue: router light is blinking red constantly in the hostel block.,Medium
Kindly note: wi-Fi is very slow in the room in my room.,Medium
Wi-Fi is very slow in the room in my room.,Medium
Complaint: wi-Fi is very slow in the room.,Medium
Complaint: router light is blinking red constantly on my floor.,Medium
Kindly note: router light is blinking red constantly in the hostel block.,Medium
Kindly note: wi-Fi is very slow in the room.,Medium
Router light is blinking red constantly.,Medium
Complaint: router light is blinking red constantly in my room.,Medium
Please report: router light is blinking red constantly in the hostel block.,Medium
Reporting an issue: router light is blinking red constantly near my room.,Medium
Kindly note: router light is blinking red constantly near my room.,Medium
Please report: wi-Fi is very slow in the room in my room.,Medium
Reporting an issue: internet speed drops significantly in the evening on my floor.,Medium
Reporting an issue: router light is blinking red constantly near my room.,Medium
Reporting an issue: wi-Fi keeps disconnecting every few minutes on my floor.,Medium
Complaint: internet speed drops significantly in the evening on my floor.,Medium
Reporting an issue: cannot connect to the hostel network in the hostel block.,Medium
Reporting an issue: internet speed drops significantly in the evening on my floor.,Medium
Complaint: internet speed drops significantly in the evening near my room.,Medium
Kindly note: wi-Fi is very slow in the room in the hostel block.,Medium
Please report: router light is blinking red constantly on my floor.,Medium
Please report: wi-Fi keeps disconnecting every few minutes in my room.,Medium
Kindly note: wi-Fi is very slow in the room in the hostel block.,Medium
Reporting an issue: router light is blinking red constantly in the hostel block.,Medium
Wi-Fi is very slow in the room near my room.,Medium
Please report: cannot connect to the hostel network on my floor.,Medium
Please report: router light is blinking red constantly in my room.,Medium
Wi-Fi keeps disconnecting every few minutes in the hostel block.,Medium
Please report: router light is blinking red constantly.,Medium
Please report: internet speed drops significantly in the evening near my room.,Medium
Reporting an issue: wi-Fi is very slow in the room on my floor.,Medium
Complaint: router light is blinking red constantly.,Medium
Kindly note: wi-Fi keeps disconnecting every few minutes near my room.,Medium
Please report: wi-Fi is very slow in the room in the hostel block.,Medium
Internet speed drops significantly in the evening on my floor.,Medium
Kindly note: wi-Fi is very slow in the room in the hostel block.,Medium
Kindly note: cannot connect to the hostel network in the hostel block.,Medium
Cannot connect to the hostel network near my room.,Medium
Reporting an issue: router light is blinking red constantly in the hostel block.,Medium
Complaint: cannot connect to the hostel network on my floor.,Medium
Please report: cannot connect to the hostel network on my floor.,Medium
Reporting an issue: internet speed drops significantly in the evening.,Medium
Kindly note: wi-Fi password needs to be reset.,Low
Complaint: internet occasionally lags during video calls in my room.,Low
Reporting an issue: wi-Fi password needs to be reset in my room.,Low
Reporting an issue: wi-Fi password needs to be reset in my room.,Low
Reporting an issue: internet occasionally lags during video calls in my room.,Low
Kindly note: wi-Fi signal is weak near my study table near my room.,Low
Internet occasionally lags during video calls.,Low
Kindly note: wi-Fi password needs to be reset on my floor.,Low
Kindly note: please add better Wi-Fi coverage to this room in the hostel block.,Low
Please report: please add better Wi-Fi coverage to this room on my floor.,Low
Reporting an issue: wi-Fi password needs to be reset in my room.,Low
Please report: wi-Fi signal is weak near my study table in my room.,Low
Internet is slightly slower than usual.,Low
Reporting an issue: internet is slightly slower than usual in my room.,Low
Kindly note: wi-Fi signal is weak near my study table.,Low
Complaint: wi-Fi password needs to be reset.,Low
Reporting an issue: internet is slightly slower than usual in my room.,Low
Reporting an issue: internet occasionally lags during video calls on my floor.,Low
Reporting an issue: wi-Fi password needs to be reset in my room.,Low
Reporting an issue: wi-Fi password needs to be reset in the hostel block.,Low
Please report: please add better Wi-Fi coverage to this room.,Low
Reporting an issue: internet is slightly slower than usual on my floor.,Low
Wi-Fi password needs to be reset.,Low
Kindly note: please add better Wi-Fi coverage to this room.,Low
Complaint: please add better Wi-Fi coverage to this room in my room.,Low
Internet occasionally lags during video calls on my floor.,Low
Reporting an issue: internet occasionally lags during video calls.,Low
Reporting an issue: internet is slightly slower than usual near my room.,Low
Wi-Fi signal is weak near my study table in my room.,Low
Kindly note: please add better Wi-Fi coverage to this room near my room.,Low
Internet is slightly slower than usual on my floor.,Low
Kindly note: please add better Wi-Fi coverage to this room in my room.,Low
Please add better Wi-Fi coverage to this room on my floor.,Low
Reporting an issue: wi-Fi signal is weak near my study table on my floor.,Low
Kindly note: internet is slightly slower than usual near my room.,Low
Complaint: wi-Fi signal is weak near my study table in the hostel block.,Low
Complaint: internet is slightly slower than usual in my room.,Low
Complaint: internet is slightly slower than usual on my floor.,Low
Complaint: please add better Wi-Fi coverage to this room in the hostel block.,Low
Please report: internet is slightly slower than usual in the hostel block.,Low
Please report: internet is slightly slower than usual on my floor.,Low
Complaint: internet is slightly slower than usual in my room.,Low
Kindly note: internet is slightly slower than usual.,Low
Internet occasionally lags during video calls in my room.,Low
Internet is slightly slower than usual on my floor.,Low
Kindly note: wi-Fi password needs to be reset near my room.,Low
Please report: internet is slightly slower than usual.,Low
Internet is slightly slower than usual in the hostel block.,Low
